smiles,ic50_nM
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0
O=C(O)/C=C/c1ccc(O)cc1,3000000.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310.0
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0
N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000.0
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0
COc1ccc(NN=C(C#N)C#N)cc1,600000.0
COc1cc(C=C(C#N)C#N)cc(OC)c1O,850000.0
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,3000.0
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,8000.0
N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,1300000.0
N#C/C(=C/c1ccc[nH]1)C(=O)O,1360000.0
N#C/C(=C\c1ccc(O)cc1)C(=O)O,165000.0
N#CC(C#N)=Cc1ccncc1,250000.0
N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,125000.0
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0
N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,625000.0
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1000.0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,13350.0
N#CC(C#N)=CNc1ccc(O)cc1,350000.0
O=CN/C=C/c1cc(O)ccc1O,14000.0
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,238.0
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64.0
N#CC(C#N)=C1C(=O)NC(=O)NC1=O,1400000.0
N#CC(C#N)=Cc1ccc(C(=O)O)cc1,430000.0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,22.0
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,13500.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5
Nc1ccc2ncnc(NCc3ccccc3)c2c1,508.0
N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,450000.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,200.0
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,210.0
