Metal_1,Metal_2,Metal_3,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Annealing Temp degree,Annealing Time min,Proton Concentration M,Catalyst_Loading mg cm -2,Overpotential mV @10 mA cm-2
Co,Ru,,89.79591837,10.20408163,0.0,25.0,300.0,350.0,120.0,1.0,1.2,492
Co,,,100.0,0.0,0.0,25.0,300.0,350.0,120.0,1.0,1.0,546
Ti,Ir,,96.18320611,3.816793893,25.0,0.0,2880.0,25.0,0.0,0.1,0.028,461
Ti,Ir,,94.07114625,5.928853755,25.0,0.0,2880.0,25.0,0.0,0.1,0.042,342
Ti,Ir,,91.80327869,8.196721311,25.0,0.0,2880.0,25.0,0.0,0.1,0.056,377
Ir,,,100.0,0.0,0.0,25.0,5.0,500.0,720.0,0.1,0.011,394
Ir,Au,,50.0,50.0,0.0,25.0,5.0,500.0,720.0,0.1,0.02173198,351
Ir,Co,,50.0,50.0,0.0,25.0,5.0,500.0,720.0,0.1,0.046833898,356
Ir,Au,Co,33.33333333,33.33333333,33.33333333,25.0,5.0,500.0,720.0,0.1,0.057565878,330
Ir,Ni,,50.0,50.0,0.0,25.0,5.0,500.0,720.0,0.1,0.046833898,357
Ir,Au,Ni,33.33333333,33.33333333,33.33333333,25.0,5.0,500.0,720.0,0.1,0.057565878,335
Ir,Cu,,50.0,50.0,0.0,25.0,5.0,500.0,720.0,0.1,0.044034375,400
Ir,Au,Cu,33.33333333,33.33333333,33.33333333,25.0,5.0,500.0,720.0,0.1,0.054766355,376
W,Ir,,91.28751917,8.71248083,0.0,95.0,300.0,400.0,300.0,1.0,0.5,258
W,,,100.0,0.0,0.0,95.0,300.0,400.0,300.0,1.0,0.5,552
Ir,,,100.0,0.0,0.0,95.0,300.0,400.0,300.0,1.0,0.045,741
Ir,,,100.0,0.0,0.0,25.0,1440.0,25.0,0.0,1.0,0.13,290
Ru,Au,,90.90909091,9.090909091,0.0,25.0,2880.0,300.0,180.0,1.0,0.8488,189
Ru,,,100.0,0.0,0.0,25.0,2880.0,300.0,180.0,1.0,0.8488,185
Ru,Au,,90.90909091,9.090909091,0.0,25.0,2880.0,300.0,240.0,1.0,0.8488,154
Ru,,,100.0,0.0,0.0,25.0,2880.0,300.0,240.0,1.0,0.8488,167
Ru,Co,,85.71428571,14.28571429,0.0,80.0,360.0,750.0,120.0,1.0,0.256,209
Ru,,,100.0,0.0,0.0,80.0,360.0,750.0,120.0,1.0,0.256,342
Ru,Co,,75.0,25.0,0.0,80.0,360.0,750.0,120.0,1.0,0.256,280
Ru,Co,,90.0,10.0,0.0,80.0,360.0,750.0,120.0,1.0,0.256,224
Pt,Sn,,74.70139025,25.29860975,0.0,180.0,720.0,25.0,0.0,1.0,0.015031102,370
Pt,Sn,Pd,70.34040098,23.8217033,5.837895721,150.0,420.0,25.0,0.0,1.0,0.015463876,270
Ir,,,100.0,0.0,0.0,70.0,120.0,800.0,180.0,1.0,0.0035,216
Ir,,,100.0,0.0,0.0,70.0,120.0,800.0,180.0,1.0,0.003,412
Ir,,,100.0,0.0,0.0,70.0,120.0,1000.0,180.0,1.0,0.0085,394
Ir,,,100.0,0.0,0.0,0.0,180.0,450.0,120.0,1.0,0.0407,299
Ir,Ta,Tm,80.0,10.0,10.0,0.0,180.0,450.0,120.0,1.0,0.0407,227
Ir,,,100.0,0.0,0.0,0.0,180.0,450.0,120.0,1.0,0.0407,254
Ir,Ta,,95.0,5.0,0.0,0.0,180.0,450.0,120.0,1.0,0.0407,238
Ir,Ta,,90.0,10.0,0.0,0.0,180.0,450.0,120.0,1.0,0.0407,235
Ir,Ta,,80.0,20.0,0.0,0.0,180.0,450.0,120.0,1.0,0.0407,242
Ir,Tm,,90.0,10.0,0.0,0.0,180.0,450.0,120.0,1.0,0.0407,236
Ir,Tm,Ta,80.0,10.0,10.0,0.0,180.0,450.0,120.0,1.0,0.0407,202
Ir,Tm,Ta,70.0,20.0,10.0,0.0,180.0,450.0,120.0,1.0,0.0407,224
Co,Ru,,74.79619142,25.20380858,0.0,25.0,1440.0,300.0,120.0,1.0,0.35,281
Co,Ru,,70.36267307,29.63732693,0.0,25.0,1440.0,300.0,120.0,1.0,0.35,239
Co,Ru,,66.42533436,33.57466564,0.0,25.0,1440.0,300.0,120.0,1.0,0.35,232
Co,Ru,,62.90529401,37.09470599,0.0,25.0,1440.0,300.0,120.0,1.0,0.35,228
Co,Ru,,59.73954968,40.26045032,0.0,25.0,1440.0,300.0,120.0,1.0,0.35,252
Ti,Ru,Ir,61.96031045,35.69270809,2.346981457,70.0,180.0,450.0,240.0,1.0,0.168245,337
Ti,Ru,Ir,79.85456653,13.17732121,6.968112262,165.0,360.0,25.0,0.0,0.1,0.09,254
Ti,Ru,Ir,78.54586388,14.03335616,7.420779959,165.0,360.0,25.0,0.0,0.1,0.09,307
Ti,Ru,Ir,72.95584718,17.68983969,9.354313133,165.0,360.0,25.0,0.0,0.1,0.09,308
Ti,Ru,Ir,65.83413369,22.34822077,11.81764554,165.0,360.0,25.0,0.0,0.1,0.09,363
Ti,Ir,,75.18610422,24.81389578,0.0,165.0,360.0,25.0,0.0,0.1,0.09,306
Ru,Ir,,65.4109589,34.5890411,0.0,165.0,360.0,25.0,0.0,0.1,0.3,372
Ru,Ir,,65.4109589,34.5890411,0.0,165.0,360.0,25.0,0.0,0.1,0.09,325
Ru,Y,,50.0,50.0,0.0,80.0,300.0,950.0,720.0,1.0,0.255,297
Ru,Y,F,41.61979753,41.61979753,16.76040495,80.0,300.0,400.0,1440.0,1.0,0.255,250
Ru,Y,F,35.64547206,35.64547206,28.70905588,80.0,300.0,400.0,1440.0,1.0,0.255,235
F,Ru,Y,37.65796125,31.17101938,31.17101938,80.0,300.0,400.0,1440.0,1.0,0.255,256
Ir,Te,,77.04160247,22.95839753,0.0,80.0,180.0,25.0,0.0,1.0,0.05095,271
Ir,,,100.0,0.0,0.0,55.0,180.0,450.0,30.0,1.0,0.354,304
Ir,Gd,,97.0,3.0,0.0,55.0,180.0,450.0,30.0,1.0,0.354,294
Ir,Gd,,95.0,5.0,0.0,55.0,180.0,450.0,30.0,1.0,0.354,287
Ir,Gd,,93.0,7.0,0.0,55.0,180.0,450.0,30.0,1.0,0.354,307
Ir,Gd,,90.0,10.0,0.0,55.0,180.0,450.0,30.0,1.0,0.354,314
Ir,Gd,,95.0,5.0,0.0,55.0,180.0,400.0,30.0,1.0,0.354,370
Ir,Gd,,95.0,5.0,0.0,55.0,180.0,500.0,30.0,1.0,0.354,342
Ir,Gd,,95.0,5.0,0.0,55.0,180.0,450.0,60.0,1.0,0.354,333
Ir,,,100.0,0.0,0.0,120.0,60.0,450.0,60.0,0.1,0.006868734,298
Ti,Ir,,65.1255892,34.8744108,0.0,120.0,60.0,450.0,60.0,0.1,0.006940071,297
Ti,Ir,,88.22351982,11.77648018,0.0,120.0,60.0,450.0,60.0,0.1,0.006613959,286
Ti,Ir,,96.77059312,3.229406876,0.0,120.0,60.0,450.0,60.0,0.1,0.009192282,284
Ga,Ir,,53.77917394,46.22082606,0.0,25.0,480.0,800.0,480.0,0.1,0.1333,272
Ga,Ir,,53.77917394,46.22082606,0.0,25.0,480.0,400.0,300.0,0.1,0.1333,291
Ir,Co,,75.0,25.0,0.0,25.0,480.0,500.0,60.0,1.0,0.8488,252
Ir,Co,,50.0,50.0,0.0,25.0,480.0,500.0,60.0,1.0,0.8488,244
Co,Ir,,75.0,25.0,0.0,25.0,480.0,500.0,60.0,1.0,0.8488,249
S,Mo,Co,78.94736842,18.42105263,2.631578947,200.0,1200.0,25.0,0.0,1.0,0.112,226
Ru,Sr,,50.0,50.0,0.0,25.0,0.0,1200.0,600.0,1.0,0.5,190
Ru,,,100.0,0.0,0.0,25.0,0.0,800.0,600.0,1.0,0.5,300
Te,Ir,,66.66666667,33.33333333,0.0,200.0,30.0,25.0,0.0,1.0,0.02333,284
Ir,Ni,,90.0,10.0,0.0,70.0,120.0,25.0,0.0,1.0,0.0627,261
Ir,Ni,,90.0,10.0,0.0,70.0,120.0,300.0,30.0,1.0,0.0627,270
Ir,Ni,,90.0,10.0,0.0,70.0,120.0,400.0,30.0,1.0,0.0627,293
Ir,Ni,,90.0,10.0,0.0,70.0,120.0,500.0,30.0,1.0,0.0627,314
Ir,Mo,,50.0,50.0,0.0,80.0,720.0,500.0,180.0,1.0,0.5,156
Co,Ce,,90.0,10.0,0.0,80.0,360.0,400.0,60.0,1.0,490.0,423
Co,,,100.0,0.0,0.0,80.0,360.0,400.0,60.0,1.0,490.0,507
Co,Ce,,95.0,5.0,0.0,80.0,360.0,400.0,60.0,1.0,490.0,442
Co,Ce,,88.88888889,11.11111111,0.0,80.0,360.0,400.0,60.0,1.0,490.0,454
Co,Ce,,90.0,10.0,0.0,80.0,360.0,300.0,60.0,1.0,490.0,415
Co,Ce,,90.0,10.0,0.0,80.0,360.0,500.0,60.0,1.0,490.0,411
Ru,Y,,50.0,50.0,0.0,80.0,720.0,900.0,360.0,1.0,0.071,310
Ru,Y,Sr,50.0,47.5,2.5,80.0,720.0,900.0,360.0,1.0,0.071,283
Ru,Y,Sr,50.0,45.0,5.0,80.0,720.0,900.0,360.0,1.0,0.071,273
Ru,Y,Sr,50.0,42.5,7.5,80.0,720.0,900.0,360.0,1.0,0.071,265
Ru,Y,Sr,50.0,40.0,10.0,80.0,720.0,900.0,360.0,1.0,0.071,269
Ru,,,100.0,0.0,0.0,25.0,120.0,600.0,120.0,1.0,0.166666666,296
Ru,,,100.0,0.0,0.0,25.0,120.0,700.0,120.0,1.0,0.166666666,283
Ru,,,100.0,0.0,0.0,25.0,120.0,800.0,120.0,1.0,0.166666666,257
Ru,,,100.0,0.0,0.0,25.0,120.0,900.0,120.0,1.0,0.166666666,270
Mo,Ir,,90.0,10.0,0.0,25.0,40.0,400.0,15.0,0.1,0.163,283
Mo,Ir,,90.0,10.0,0.0,25.0,40.0,450.0,15.0,0.1,0.163,258
Mo,Ir,,70.0,30.0,0.0,25.0,40.0,450.0,15.0,0.1,0.163,277
Mo,Ir,,70.0,30.0,0.0,25.0,40.0,500.0,15.0,0.1,0.163,274
Mo,Ir,,70.0,30.0,0.0,25.0,40.0,550.0,15.0,0.1,0.163,286
Mo,Ir,,70.0,30.0,0.0,25.0,40.0,600.0,15.0,0.1,0.163,312
Ir,Mo,,50.0,50.0,0.0,25.0,40.0,500.0,15.0,0.1,0.163,290
Ir,Mo,,50.0,50.0,0.0,25.0,40.0,550.0,15.0,0.1,0.163,274
Ir,Mo,,50.0,50.0,0.0,25.0,40.0,600.0,15.0,0.1,0.163,285
Ir,,,100.0,0.0,0.0,160.0,720.0,400.0,180.0,1.0,0.00629109,404
Ir,,,100.0,0.0,0.0,160.0,720.0,600.0,180.0,1.0,0.00629109,315
Ir,,,100.0,0.0,0.0,160.0,720.0,800.0,180.0,1.0,0.00629109,350
Pt,Ir,,55.0,45.0,0.0,30.0,60.0,25.0,0.0,0.1,0.0976,280
Ru,,,100.0,0.0,0.0,-196.0,4320.0,500.0,360.0,1.0,0.098,169
Ru,Fe,,58.00112333,41.99887667,0.0,180.0,300.0,250.0,60.0,1.0,0.178977272,236
Ru,Fe,,58.00112333,41.99887667,0.0,180.0,600.0,250.0,60.0,1.0,0.178977272,249
Ru,Fe,,58.00112333,41.99887667,0.0,180.0,300.0,250.0,60.0,0.1,0.178977272,245
Ru,Fe,,58.00112333,41.99887667,0.0,180.0,600.0,250.0,60.0,0.1,0.178977272,258
Ru,Co,,48.32980446,51.67019554,0.0,25.0,1440.0,350.0,240.0,1.0,0.8492569,197
Ru,Co,,58.38582835,41.61417165,0.0,25.0,1440.0,350.0,240.0,1.0,0.8492569,191
Ru,Co,,65.16533159,34.83466841,0.0,25.0,1440.0,350.0,240.0,1.0,0.8492569,175
Ru,Co,,73.72607633,26.27392367,0.0,25.0,1440.0,350.0,240.0,1.0,0.8492569,170
Ru,Co,,65.16533159,34.83466841,0.0,25.0,1440.0,400.0,240.0,1.0,0.8492569,181
Ru,Co,,65.16533159,34.83466841,0.0,25.0,1440.0,450.0,240.0,1.0,0.8492569,193
Ru,Co,,65.16533159,34.83466841,0.0,25.0,1440.0,500.0,240.0,1.0,0.8492569,215
Sr,Fe,Ir,50.0,25.0,25.0,25.0,0.0,1100.0,1440.0,0.1,0.255102,386
Sr,Co,Ir,50.0,25.0,25.0,25.0,0.0,1100.0,1440.0,0.1,0.255102,415
Sr,Fe,Ir,66.66666667,16.66666667,16.66666667,25.0,0.0,1300.0,1440.0,0.1,0.255102,413
Ir,,,100.0,0.0,0.0,25.0,60.0,300.0,90.0,0.1,0.2038,255
Ru,Co,,69.65593248,30.34406752,0.0,200.0,360.0,900.0,240.0,1.0,0.0905,190
Co,,,100.0,0.0,0.0,200.0,360.0,900.0,240.0,1.0,0.0905,465
W,none,none,100.0,0.0,0.0,25.0,0.0,550.0,1.5,2.0,0.8492569,1580
Ir,,,100.0,0.0,0.0,25.0,0.0,550.0,1.5,2.0,0.8492569,280
W,Ir,,57.0,43.0,0.0,25.0,0.0,550.0,1.5,2.0,0.8492569,370
W,Ir,,92.0,8.0,0.0,25.0,0.0,550.0,1.5,2.0,0.8492569,480
W,Ir,,99.0,1.0,0.0,25.0,0.0,550.0,1.5,2.0,0.8492569,500
W,Ir,,99.0,1.0,0.0,25.0,0.0,500.0,60.0,2.0,0.8492569,1070
Y,Ru,,50.0,50.0,0.0,80.0,720.0,960.0,360.0,0.1,0.025477,244
Y,Ru,,50.0,50.0,0.0,80.0,720.0,1000.0,720.0,0.1,0.025477,328
Ru,Ir,,70.0,30.0,0.0,70.0,10.0,450.0,60.0,0.2,0.4,195
Ru,Y,,50.0,50.0,0.0,80.0,360.0,1000.0,360.0,0.1,0.025,326
Ru,Nd,,50.0,50.0,0.0,80.0,360.0,1000.0,360.0,0.1,0.025,336
Ru,Gd,,50.0,50.0,0.0,80.0,360.0,1000.0,360.0,0.1,0.025,343
Sr,Ir,Ti,79.51807229,6.827309237,13.65461847,180.0,720.0,600.0,360.0,0.1,0.21,247
Ir,,,100.0,0.0,0.0,180.0,720.0,600.0,360.0,0.1,0.21,319
Pt,Ir,,10.0,90.0,0.0,180.0,1440.0,400.0,60.0,1.0,0.38,328
Pt,Ir,,30.0,70.0,0.0,180.0,1440.0,400.0,60.0,1.0,0.38,345
Pt,Ir,,50.0,50.0,0.0,180.0,1440.0,400.0,60.0,1.0,0.38,357
Ru,,,100.0,0.0,0.0,195.0,60.0,400.0,60.0,1.0,0.01,297
Ir,,,100.0,0.0,0.0,195.0,60.0,400.0,60.0,1.0,0.01,463
Ru,Ir,,50.0,50.0,0.0,195.0,60.0,400.0,60.0,1.0,0.01,415
Te,Ru,,67.04545455,32.95454545,0.0,180.0,180.0,250.0,300.0,1.0,0.040764,243
Te,Ru,,67.04545455,32.95454545,0.0,180.0,180.0,250.0,300.0,1.0,0.040764,439
Te,Ru,,67.04545455,32.95454545,0.0,180.0,180.0,250.0,300.0,0.1,0.040764,302
La,Ir,,66.68838511,33.31161489,0.0,150.0,720.0,400.0,360.0,0.1,0.2,263
Ir,,,100.0,0.0,0.0,150.0,720.0,600.0,360.0,0.1,0.2,370
Ir,,,100.0,0.0,0.0,150.0,720.0,200.0,360.0,0.1,0.2,330
Ru,Y,,50.0,50.0,0.0,80.0,120.0,1100.0,720.0,1.0,0.246,302
Ru,Y,Mg,50.0,47.5,2.5,80.0,120.0,1100.0,720.0,1.0,0.246,269
Ru,Y,Mg,50.0,46.25,3.75,80.0,120.0,1100.0,720.0,1.0,0.246,259
Ru,Y,Mg,50.0,43.75,6.25,80.0,120.0,1100.0,720.0,1.0,0.246,263
Ru,Y,Mg,50.0,40.0,10.0,80.0,120.0,1100.0,720.0,1.0,0.246,273
Sn,Ir,Sb,83.60250328,9.127713825,7.269782894,80.0,60.0,200.0,60.0,1.0,0.0509554,594
Sn,Ir,Sb,78.76354402,14.38745215,6.849003828,80.0,60.0,200.0,60.0,1.0,0.0509554,548
Sn,Ir,Sb,74.42265591,19.10580879,6.471535297,80.0,60.0,200.0,60.0,1.0,0.0509554,425
Sn,Ir,Sb,70.66006481,23.19558173,6.144353462,80.0,60.0,200.0,60.0,1.0,0.0509554,400
Sn,Ir,Sb,55.0169374,40.19898109,4.784081513,80.0,60.0,200.0,60.0,1.0,0.0509554,388
Ir,Sn,Sb,50.20710026,45.80946776,3.983431979,80.0,60.0,200.0,60.0,1.0,0.0509554,382
Ir,,,100.0,0.0,0.0,80.0,60.0,200.0,60.0,1.0,0.0509554,352
Cu,Ir,,70.0,30.0,0.0,250.0,720.0,600.0,6.0,0.1,0.2,391
Cu,Ir,,50.0,50.0,0.0,250.0,720.0,600.0,6.0,0.1,0.2,368
Ir,Cu,,70.0,30.0,0.0,250.0,720.0,600.0,6.0,0.1,0.2,351
Ir,Cu,,90.0,10.0,0.0,250.0,720.0,600.0,6.0,0.1,0.2,375
Ru,,,100.0,0.0,0.0,160.0,720.0,350.0,240.0,1.0,0.275,184
Ru,In,,75.00418196,24.99581804,0.0,160.0,720.0,250.0,240.0,1.0,0.275,180
Ru,In,,75.00418196,24.99581804,0.0,160.0,720.0,350.0,240.0,1.0,0.275,177
Ru,In,,75.00418196,24.99581804,0.0,160.0,720.0,450.0,240.0,1.0,0.275,206
Cu,Ru,Ir,50.0,41.0,9.0,240.0,60.0,25.0,0.0,0.1,0.012,233
Cu,Ru,Ir,50.0,33.0,17.0,240.0,60.0,25.0,0.0,0.1,0.012,226
Cu,Ru,Ir,50.0,26.0,24.0,240.0,60.0,25.0,0.0,0.1,0.012,244
Cu,Ir,Ru,50.0,33.5,16.5,240.0,60.0,25.0,0.0,0.1,0.012,268
Cu,Ir,Ru,50.0,41.0,9.0,240.0,60.0,25.0,0.0,0.1,0.012,271
Ir,,,54.54545455,45.45454545,0.0,240.0,60.0,25.0,0.0,0.1,0.012,307
Sr,Ir,,98.42007435,1.579925651,0.0,180.0,720.0,700.0,720.0,0.1,0.21,243
Sr,Ir,,50.0,50.0,0.0,25.0,60.0,1150.0,60.0,0.1,0.21,310
Ru,,,100.0,0.0,0.0,25.0,1440.0,300.0,240.0,1.0,0.275,188
Ru,,,100.0,0.0,0.0,25.0,1440.0,400.0,240.0,1.0,0.275,201
Ru,,,100.0,0.0,0.0,25.0,1440.0,500.0,240.0,1.0,0.275,230
Ru,,,100.0,0.0,0.0,25.0,1440.0,600.0,240.0,1.0,0.275,367
Ir,Fe,,58.72483221,41.27516779,0.0,150.0,720.0,400.0,360.0,0.1,0.1716,312
Fe,Ir,,58.43230404,41.56769596,0.0,150.0,720.0,400.0,360.0,0.1,0.1716,261
Ir,,,100.0,0.0,0.0,150.0,720.0,600.0,360.0,0.1,0.2,339
Co,S,,50.0,50.0,0.0,200.0,30.0,200.0,1440.0,1.0,0.85,570
Co,S,,50.0,50.0,0.0,200.0,30.0,200.0,1440.0,1.0,1.0,870
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,30.0,200.0,1440.0,1.0,0.85,540
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,1440.0,200.0,1440.0,1.0,1.0,380
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,60.0,200.0,1440.0,1.0,0.85,520
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,120.0,200.0,1440.0,1.0,0.85,510
